Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Site web;Longitude Latitude;Plus Code;Directeur;;;;Mél(s);;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;2030;2029;2028;2027;2026;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J
Pharmaceutique;Médicaments;Delpharm Reims;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10, rue colonel Charbonneaux;Reims;51100;326888110;https://www.linkedin.com/company/delpharmreims/?originalSubdomain=fr;49.2727416824859,  4.003045026580413 ;72F3+26 Reims;;;;;;;58;N° 58 Delpharm Reims;37;N° 37 Delpharm Reims;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;sucrerie;Cristal union, Bazancourt;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115, rue de Pomacle;Bazancourt;51110;03 26 03 31 81;https://www.linkedin.com/company/cristal-union/?originalSubdomain=fr;49.35053765521716, 4.16640323758108;;;;;;;;59;N° 59 Cristal union, Bazancourt;38;N° 38 Cristal union, Bazancourt;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cosmétique;Produits cosmétiques;Givaudan;                  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Route de Bazancourt;Pomacle;51110;03 33 26 88 84 10;https://fr.linkedin.com/company/givaudan;49.34605589439471, 4.16102316839083;;;;;;;;59;N° 59 Givaudan;39;N° 39 Givaudan;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;moutarderie;Moutarderie Bister France, St Thibault;"; 2016=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'Écluse;Saint-Thibault;10800;03 25 43 30 02;https://www.bioster.fr/;48.22326436776116, 4.130717400269605;;;;;;;;56;N° 56 Moutarderie Bister France, St Thibault;65;N° 65 Moutarderie Bister France, St Thibault;;;;;;;;;0;0;0;0;;;1;;;;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Alimentaire;fromagerie;Fromagerie LAISTELLE;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27 bis rue du Pâtis;GRASSIGNY-CHEMIN;52150;06 19 76 29 02;https://www.fromagerie-laistelle.fr/nos-produits/;48.166231227415075, 5.634658105273315;;;;;;;;42;N° 42 Fromagerie LAISTELLE;65;N° 65 Fromagerie LAISTELLE;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Champagne;Moët et Chandon;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20 Av. de Champagne;Épernay;51200;03 26 51 21 00;https://www.moet.com/fr-fr/visit-us;49.04314908468109, 3.9596984759846503;;;;;;;;42;N° 42 Moët et Chandon;65;N° 65 Moët et Chandon;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Boulangerie industrielle;Le Bon Pain de France;"; 2023=1;2022=2 ; 2021=2 ; 2020=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 Rue des Maraichers;Saint-Adré-les-Vergers;10120;03 25 45 12 5;http://www.bonpaindefrance.com/;48.270692750770586, 4.0464962018299815;;;;;;;;1;N° 1 Le Bon Pain de France;2;N° 2 Le Bon Pain de France;;;;;;;;1;2;2;1;;;;;;;;30;16;0;0;2;1;0;0;0;0;1;2;0;0;0;0
Médical;Hôpital;Hôpital Simone Veil (Troyes);"; 2023=2;2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101 Avenue Anatole France;Troyes;10000;03 25 49 49 60;https://fr.linkedin.com/company/centre-hospitalier-de-troyes;48.27925022914768, 4.0680746183111705;;;;;;;;5;N° 5 Hôpital Simone Veil (Troyes);7;N° 7 Hôpital Simone Veil (Troyes);;;;;;;;2;1;0;0;;;;;;;;17;12;0;0;1;0;0;0;0;0;2;0;0;0;0;0
Alimentaire;Farine;MINOTERIE GIRARDEAU;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZI LE FROMENTEAU;BOUSSAY;44190;02 40 06 86 86;https://fr.linkedin.com/company/minoterie-girardeau;47.05932601130899, -1.1863253402368705;;;;;;;;42;N° 42 MINOTERIE GIRARDEAU;65;N° 65 MINOTERIE GIRARDEAU;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Médical;Laboratoire;Laboratoire LAVAD 10 ;"; 2023=1;2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chemin des champs de la loge;Troyes;10006;03 25 42 52 00;https://www.aube.fr/106-laboratoire-departemental-d-analyses.htm;48.315182625159295, 4.06959789657224;;;;;;;;9;N° 9 Laboratoire LAVAD 10 ;18;N° 18 Laboratoire LAVAD 10 ;;;;;;;;1;1;0;0;0;0;0;0;0;0;0;11;6;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Alimentaire;Boulangerie;FOURNIL PLIQUE SARL;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126 rue de Preize;Troyes;10000;03 25 76 13 33;https://fr.linkedin.com/company/fournil-plique;48.30820066617622, 4.06831726245303;;;;;;;;42;N° 42 FOURNIL PLIQUE SARL;65;N° 65 FOURNIL PLIQUE SARL;;;;;;;;;1;0;0;;;;;;;;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;fromagerie;GAEC des Tilleuls;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 Grande rue;Marolles Les Bailly;10100;06 86 72 00 93;https://maliceetfromageblanc.fr/;48.186500588786295, 4.349400815476413;;;;;;;;42;N° 42 GAEC des Tilleuls;65;N° 65 GAEC des Tilleuls;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Boulangerie;PAIN GOURMAND;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8, Boulevard Goerges Pompidou;Troyes;10000;03 25 49 97 55;https://fr.linkedin.com/in/frederic-amiot-487000144;48.28671894658467, 4.079085980556557;;;;;;;;42;N° 42 PAIN GOURMAND;65;N° 65 PAIN GOURMAND;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;Fruits et Légumes;COOPERATIVE DE FRUITS & LEGUMES DES P.O.;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZA rue Henri MARCHAL;SAINT-HYPPOLYTE;65510;04 68 59 59 59;https://www.teraneo.eu/fr;42.774457343222586, 2.9597828127105457;;;;;;;;42;N° 42 COOPERATIVE DE FRUITS & LEGUMES DES P.O.;65;N° 65 COOPERATIVE DE FRUITS & LEGUMES DES P.O.;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Cosmétique;Cosmétiques & parfums;Christian DIOR;";2022=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185 avenue de Verdun;SAINT JEAN DE BRAYE;45800;02 38 60 30 30;https://www.linkedin.com/company/parfums-christian-dior;47.92687770846521, 1.9896248984419156;;;;;;;;42;N° 42 Christian DIOR;65;N° 65 Christian DIOR;;;;;;;;;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Alimentaire;fromagerie;NOUVELLE FROMAGERIE DE VAUDES;";2022=1  ; 2020=1  ; 2018=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Grande Rue;Vaudes;10260;03 25 40 92 33;https://fr.linkedin.com/company/nouvelle-fromagerie-de-vaudes;48.17420979961018, 4.1957788960244935;;;;;;;;8;N° 8 NOUVELLE FROMAGERIE DE VAUDES;65;N° 65 NOUVELLE FROMAGERIE DE VAUDES;;;;;;;;;1;0;1;;1;;;;;;12;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
